W0019-1046 R_SPECIAL 1.13 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.1.fits
W0019-1046 R_SPECIAL 1.06 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.2.fits
W0019-1046 R_SPECIAL 1.08 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.3.fits
W0019-1046 R_SPECIAL 1.28 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.4.fits
W0019-1046 R_SPECIAL 1.25 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.5.fits
W0019-1046 R_SPECIAL 1.18 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.6.fits
W0019-1046 R_SPECIAL 1.08 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.7.fits
W0019-1046 R_SPECIAL 1.53 science_reduced_img.W0019-1046.60201.R_SPECIAL.chip1.8.fits
W0019-1046 R_SPECIAL 0.96 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.1.fits
W0019-1046 R_SPECIAL 0.97 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.2.fits
W0019-1046 R_SPECIAL 0.72 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.3.fits
W0019-1046 R_SPECIAL 0.78 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.4.fits
W0019-1046 R_SPECIAL 0.85 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.5.fits
W0019-1046 R_SPECIAL 0.82 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.6.fits
W0019-1046 R_SPECIAL 0.80 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.7.fits
W0019-1046 R_SPECIAL 0.86 science_reduced_img.W0019-1046.60202.R_SPECIAL.chip1.8.fits
