	V-FORS
Wavelength (nm)	%T
772	0.003280715
770	0.001753084
768	0.000488037
766	0.000349187
764	0.001817344
762	0.00115185
760	0.001017953
758	0.001218631
756	0.001082339
754	0.002409731
752	0.001878096
750	0.001876998
748	0.001214444
746	0.001012987
744	0.001146756
742	0.00114604
740	0.001012078
738	0.000880668
736	0.002198842
734	0.000677603
732	0.000481619
730	0.001338166
728	0.000347505
726	0.000744644
724	0.000872893
722	-4.36E-05
720	0.001464295
718	0.000150281
716	0.001791326
714	0.000936671
712	0.001396538
710	0.000478657
708	0.000484067
706	0.000543638
704	0.001068923
702	0.00132628
700	0.001522582
698	0.000738984
696	0.001065693
694	0.001715134
692	0.00190891
690	0.000803962
688	0.0008035
686	0.00145302
684	0.001840504
682	0.002682172
680	0.003204274
678	0.00306675
676	0.002614005
674	0.003131565
672	0.004219668
670	0.005190766
668	0.005580847
666	0.005699672
664	0.007255551
662	0.008717036
660	0.010804665
658	0.012867026
656	0.016489558
654	0.020968147
652	0.028495878
650	0.039146338
648	0.055934563
646	0.07725697
644	0.108455747
642	0.154237911
640	0.221237406
638	0.319339246
636	0.464324325
634	0.695483863
632	1.076113343
630	1.742112875
628	2.93792057
626	5.173256397
624	9.51820755
622	17.57900429
620	30.85845757
618	48.2254982
616	63.61830902
614	74.13074493
612	80.8553009
610	85.24187469
608	88.17643738
606	89.98878479
604	91.07466125
602	91.71705627
600	92.0353775
598	92.01303864
596	91.74438477
594	91.29262543
592	91.14904785
590	91.33460999
588	91.91909027
586	92.7179718
584	93.38876343
582	93.89733887
580	94.18973541
578	94.39405823
576	94.54052734
574	94.57820129
572	94.33678436
570	93.81565857
568	93.01338196
566	92.08008575
564	91.39683533
562	91.00648499
560	90.96147919
558	91.08210754
556	91.28769684
554	91.52962494
552	91.79737091
550	92.10253906
548	92.54769897
546	92.88277435
544	93.06822968
542	92.90242004
540	92.46118164
538	91.9588089
536	91.81179047
534	91.97884369
532	92.39395142
530	92.54650879
528	92.19618225
526	91.40631866
524	90.4961319
522	89.82684326
520	89.30182648
518	88.72364807
516	87.95514679
514	87.30038452
512	86.85923004
510	86.5668335
508	85.50502014
506	83.0195694
504	79.36814117
502	75.22836304
500	70.66152191
498	64.66642761
496	56.62495041
494	46.47592545
492	35.44393158
490	24.28658867
488	14.38047123
486	7.149118423
484	3.042060137
482	1.114785194
480	0.361824006
478	0.107653663
476	0.032251105
474	0.010355011
472	0.00398096
470	0.002404992
468	0.000701363
466	0.001205377
464	0.001834972
462	0.000889555
460	0.000195055
458	0.000446576
456	0.000511608
454	0.000576053
452	0.001141244
450	0.001391973
448	0.000446651
446	0.001330212
444	0.001769635
442	0.000698471
440	0.000635733
438	0.000634787
436	0.001073492
434	0.001262218
432	0.001578196
430	0.000944755
428	0.001577398
426	0.000436308
424	0.001071396
422	0.001322242
420	0.000113908
418	0.000942115
416	0.000817011
414	0.000938779
412	0.001192313
410	0.000558511
408	-7.82E-05
406	-0.000210356
404	0.000554341
402	0.000485387
400	0.000170534
398	0.000427264
396	0.000109227
394	0.00118595
392	0.000299764
390	0.000237681
388	-0.000395509
386	-0.000765751
384	0.000121873
382	-0.000382957
380	-0.000255533
378	0.000183894
376	-0.000633089
374	0.000237788
372	0.000637267
370	-0.000449781
368	0.001547464
366	-0.000291215
364	-0.000312598
362	0.00060227
360	0.000813873
358	0.000766968
356	-0.000192714
354	0.000656119
352	-0.000217948
350	0.001499176
348	-0.000119107
346	-0.000271282
344	-0.000773682
342	-0.000140604
340	-0.000921985
338	-0.000904424
336	0.000938598
334	-0.001533074
332	-0.001786704
330	0.000327314
328	-0.001400126
326	0.000879252
324	-0.006119586
322	-0.006678559
320	-0.002675415
318	-0.003004248
316	-0.003718191
314	-0.004148252
312	-0.003796589
310	-0.005634533
308	-0.011265712
306	-0.011960627
304	-0.006736542
302	-0.008259102
300	0.000904792
