        2886768     0.1152     0.0045      71.63       1.12
        2886765     0.1114     0.0044      74.72       1.18
        2886772     0.1023     0.0045      74.03       1.21
        2886622     0.1058     0.0049      77.29       1.37
All                 0.1085     0.0023      74.32       0.59
